service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               ,download_date
PR42V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
PR43S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
PR44D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
PR45L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
PR46M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
PR47X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
PR48J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
PR49V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
PR50S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
PR51D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
PR52L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
PR53M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
PR54X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
PR55J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
PR56V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
PR57S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
PR58D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
PR59L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
PR60M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
PR61X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
PR62J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
PR63V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
PR64S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
PR65D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
PR66L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
PR67M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
PR68X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
PR69J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
PR70V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
PR71S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
1042V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
1043S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
1044D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
1045L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
1046M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
1047X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
1048J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
1049V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
1050S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
1051D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
1052L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
1053M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
1054X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
1055J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
1056V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
1057S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
1058D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
1059L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
1060M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
1061X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
1062J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
1063V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
1064S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
1065D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
1066L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
1067M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
1068X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
1069J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
1070V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
1071S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
2042V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
2043S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
2044D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
2045L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
2046M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
2047X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
2048J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
2049V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
2050S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
2051D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
2052L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
2053M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
2054X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
2055J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
2056V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
2057S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
2058D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
2059L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
2060M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
2061X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
2062J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
