route_id,route_short_name,route_long_name,route_type,route_color,route_text_color                                                                     ,download_date
10T0001C1  ,C1  ,Principe Pio                            -Aeropuerto-T4                           ,2,75B6E0,FFFFFF                                    ,2025-04-06
10T0002C1  ,C1  ,Aeropuerto-T4                           -Principe Pio                            ,2,75B6E0,FFFFFF                                    ,2025-04-06
10T0003C10 ,C10 ,Villalba                                -Aeropuerto-T4                           ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0004C10 ,C10 ,Aeropuerto-T4                           -Villalba                                ,2,9CC83E,FFFFFF                                    ,2025-04-06
10T0005C2  ,C2  ,Guadalajara                             -Chamartín - Clara Campoamor             ,2,0F8C2E,FFFFFF                                    ,2025-04-06
10T0006C2  ,C2  ,Chamartín - Clara Campoamor             -Guadalajara                             ,2,0F8C2E,FFFFFF                                    ,2025-04-06
10T0007C3  ,C3  ,Chamartín - Clara Campoamor             -Aranjuez                                ,2,7E4084,FFFFFF                                    ,2025-04-06
10T0008C3  ,C3  ,Aranjuez                                -Chamartín - Clara Campoamor             ,2,7E4084,FFFFFF                                    ,2025-04-06
10T0009C8a ,C8a ,Chamartín - Clara Campoamor             -El Escorial                             ,2,CE7BA0,FFFFFF                                    ,2025-04-06
10T0010C8a ,C8a ,El Escorial                             -Chamartín - Clara Campoamor             ,2,CE7BA0,FFFFFF                                    ,2025-04-06
10T0011C4  ,C4  ,Chamartín - Clara Campoamor             -Parla                                   ,2,005A9F,FFFFFF                                    ,2025-04-06
10T0012C4  ,C4  ,Parla                                   -Chamartín - Clara Campoamor             ,2,005A9F,FFFFFF                                    ,2025-04-06
10T0013C4a ,C4a ,Alcobendas-S.Sebast. de los Reyes       -Parla                                   ,2,02599F,FFFFFF                                    ,2025-04-06
10T0014C4a ,C4a ,Parla                                   -Alcobendas-S.Sebast. de los Reyes       ,2,02599F,FFFFFF                                    ,2025-04-06
10T0015C4b ,C4b ,Colmenar Viejo                          -Parla                                   ,2,0059A7,FFFFFF                                    ,2025-04-06
10T0016C4b ,C4b ,Parla                                   -Colmenar Viejo                          ,2,0059A7,FFFFFF                                    ,2025-04-06
10T0017C5  ,C5  ,Mostoles el Soto                        -Humanes                                 ,2,F8B70D,FFFFFF                                    ,2025-04-06
10T0018C5  ,C5  ,Humanes                                 -Mostoles el Soto                        ,2,F8B70D,FFFFFF                                    ,2025-04-06
10T0019C2  ,C2  ,Alcala de Henares                       -Principe Pio                            ,2,F8B70D,FFFFFF                                    ,2025-04-06
10T0020C2  ,C2  ,Principe Pio                            -Alcala de Henares                       ,2,F8B70D,FFFFFF                                    ,2025-04-06
10T0021C8  ,C8  ,Atocha                                  -Cercedilla                              ,2,706D75,FFFFFF                                    ,2025-04-06
10T0022C8  ,C8  ,Cercedilla                              -Atocha                                  ,2,706D75,FFFFFF                                    ,2025-04-06
10T0023C8a ,C8a ,Atocha                                  -El Escorial                             ,2,CE7BA0,FFFFFF                                    ,2025-04-06
10T0024C8a ,C8a ,El Escorial                             -Atocha                                  ,2,CE7BA0,FFFFFF                                    ,2025-04-06
10T0025C9  ,C9  ,Cercedilla                              -Cotos                                   ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0026C9  ,C9  ,Cotos                                   -Cercedilla                              ,2,F3972A,FFFFFF                                    ,2025-04-06
10T0027C8a ,C8a ,Atocha                                  -El Escorial                             ,2,CE7BA0,FFFFFF                                    ,2025-04-06
10T0028C8a ,C8a ,El Escorial                             -Atocha                                  ,2,CE7BA0,FFFFFF                                    ,2025-04-06
10T0029C3  ,C3  ,Aranjuez                                -                                        ,2,7E4084,FFFFFF                                    ,2025-04-06
10T0030C3  ,C3  ,                                        -Aranjuez                                ,2,7E4084,FFFFFF                                    ,2025-04-06
10T0031C2  ,C2  ,Guadalajara                             -                                        ,2,0F8C2E,FFFFFF                                    ,2025-04-06
10T0032C2  ,C2  ,                                        -Guadalajara                             ,2,0F8C2E,FFFFFF                                    ,2025-04-06
10T0033C3  ,C3  ,                                        -                                        ,2,7E4084,FFFFFF                                    ,2025-04-06
10T0034C3  ,C3  ,                                        -                                        ,2,7E4084,FFFFFF                                    ,2025-04-06
10T0035C5  ,C5  ,                                        -Fuenlabrada                             ,2,F8B70D,FFFFFF                                    ,2025-04-06
10T0036C5  ,C5  ,Fuenlabrada                             -                                        ,2,F8B70D,FFFFFF                                    ,2025-04-06
10T0037C2  ,C2  ,Alcala de Henares                       -Nuevos Ministerios                      ,2,F8B70D,FFFFFF                                    ,2025-04-06
10T0038C2  ,C2  ,Nuevos Ministerios                      -Alcala de Henares                       ,2,F8B70D,FFFFFF                                    ,2025-04-06
10T0039C8  ,C8  ,Principe Pio                            -                                        ,2,706D75,FFFFFF                                    ,2025-04-06
10T0040C8  ,C8  ,                                        -Principe Pio                            ,2,706D75,FFFFFF                                    ,2025-04-06
10T0041C8  ,C8  ,Principe Pio                            -                                        ,2,706D75,FFFFFF                                    ,2025-04-06
10T0042C8  ,C8  ,                                        -Principe Pio                            ,2,706D75,FFFFFF                                    ,2025-04-06
10T0043C8  ,C8  ,Principe Pio                            -                                        ,2,706D75,FFFFFF                                    ,2025-04-06
10T0044C8  ,C8  ,                                        -Principe Pio                            ,2,706D75,FFFFFF                                    ,2025-04-06
10T0045C8  ,C8  ,Principe Pio                            -                                        ,2,706D75,FFFFFF                                    ,2025-04-06
10T0046C8  ,C8  ,                                        -Principe Pio                            ,2,706D75,FFFFFF                                    ,2025-04-06
10T0047C5  ,C5  ,Atocha                                  -Fuenlabrada                             ,2,F8B70D,FFFFFF                                    ,2025-04-06
