stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding                                                                                               ,download_date
04040,Zaragoza Delicias,41.6586576,-0.9112693,1                                                                                                       ,2026-07-10
05102,San Xoán,43.4945654,-8.2142733,2                                                                                                                ,2026-07-10
05103,Santa Icía,43.4997707,-8.1999226,2                                                                                                              ,2026-07-10
05104,Virxe Do Mar,43.4965254,-8.2048752,2                                                                                                            ,2026-07-10
05105,Piñeiros,43.5094830,-8.1839923,2                                                                                                                ,2026-07-10
05106,O Ponto,43.5147757,-8.1777808,2                                                                                                                 ,2026-07-10
05107,Xuvia,43.5171911,-8.1612820,2                                                                                                                   ,2026-07-10
05108,O Alto Do Castiñeiro,43.5031794,-8.1955484,2                                                                                                    ,2026-07-10
05109,Ferrerías,43.5280178,-8.1504359,2                                                                                                               ,2026-07-10
05111,Sedes,43.5426113,-8.1401903,2                                                                                                                   ,2026-07-10
05113,Pedroso de Narón,43.5367071,-8.1091931,2                                                                                                        ,2026-07-10
05115,San Sadurniño,43.5460838,-8.0781099,2                                                                                                           ,2026-07-10
05117,Lamas,43.5473064,-8.0490166,2                                                                                                                   ,2026-07-10
05119,Apalla,43.5504570,-8.0186188,2                                                                                                                  ,2026-07-10
05121,Moeche,43.5621320,-8.0027572,2                                                                                                                  ,2026-07-10
05123,Labacengos,43.5652707,-7.9801882,2                                                                                                              ,2026-07-10
05125,Entrambarrías,43.5770633,-7.9542644,2                                                                                                           ,2026-07-10
05127,Cerdido,43.5873426,-7.9343099,2                                                                                                                 ,2026-07-10
05129,A Cuqueira,43.6078292,-7.9219389,2                                                                                                              ,2026-07-10
05131,Santa María de Mera,43.6409288,-7.9161904,2                                                                                                     ,2026-07-10
05133,Ponte Mera,43.6660380,-7.9026205,2                                                                                                              ,2026-07-10
05135,San Clodio,43.6609443,-7.8734780,2                                                                                                              ,2026-07-10
05137,Senra,43.6687930,-7.8545534,2                                                                                                                   ,2026-07-10
05139,Ortigueira,43.6862217,-7.8495738,2                                                                                                              ,2026-07-10
05141,Espasante,43.70888,-7.804897,2                                                                                                                  ,2026-07-10
05143,Loiba,43.7303930,-7.7500440,2                                                                                                                   ,2026-07-10
05145,O Barqueiro,43.735649,-7.70288,2                                                                                                                ,2026-07-10
05147,O Vicedo,43.7310260,-7.6732150,2                                                                                                                ,2026-07-10
05149,Mosende,43.706194,-7.635477,2                                                                                                                   ,2026-07-10
05151,Folgueiro,43.692766,-7.635048,2                                                                                                                 ,2026-07-10
05153,Covas de Viveiro,43.670275,-7.614613,2                                                                                                          ,2026-07-10
05155,Viveiro,43.6569,-7.60033,2                                                                                                                      ,2026-07-10
05156,Viveiro Apeadero,43.6614350,-7.5945320,2                                                                                                        ,2026-07-10
05157,Xuances,43.687991,-7.553904,2                                                                                                                   ,2026-07-10
05159,Xove Pobo,43.683567,-7.510921,2                                                                                                                 ,2026-07-10
05161,Xove,43.681138,-7.495251,2                                                                                                                      ,2026-07-10
05163,Lago,43.687108,-7.481942,2                                                                                                                      ,2026-07-10
05165,Bidueiros,43.696712,-7.468843,2                                                                                                                 ,2026-07-10
05167,San Cibrao,43.692319,-7.44177,2                                                                                                                 ,2026-07-10
05169,Madeiro,43.686219,-7.412863,2                                                                                                                   ,2026-07-10
05171,Burela,43.660607,-7.361183,2                                                                                                                    ,2026-07-10
05173,Cangas de Foz,43.626106,-7.333309,2                                                                                                             ,2026-07-10
05175,Nois,43.610309,-7.312222,2                                                                                                                      ,2026-07-10
05177,Fazouro,43.600457,-7.299843,2                                                                                                                   ,2026-07-10
05179,Marzán,43.57475,-7.26936,2                                                                                                                      ,2026-07-10
